gene_id	transcript_id(s)	SRX26953675	SRX26953676	SRX26953677	SRX26953678	SRX26953679	SRX26953680	SRX26953681	SRX26953682	SRX26953683	SRX26953684	SRX26953685	SRX26953686
ENSMUSG00000003184	ENSMUST00000003284,ENSMUST00000107834,ENSMUST00000207128,ENSMUST00000207129,ENSMUST00000207476,ENSMUST00000207521,ENSMUST00000207555,ENSMUST00000208143,ENSMUST00000208767,ENSMUST00000208906,ENSMUST00000208958,ENSMUST00000209006,ENSMUST00000209066	1964.61	1533.00	1515.00	1423.00	1835.00	1658.00	2218.00	1839.00	1239.00	2665.00	2580.00	2013.00
ENSMUSG00000003190	ENSMUST00000003290,ENSMUST00000207213,ENSMUST00000207342,ENSMUST00000207443,ENSMUST00000207755,ENSMUST00000208128	421.28	352.55	389.65	403.07	514.34	913.53	292.90	639.00	259.00	450.69	550.86	655.46
ENSMUSG00000003198	ENSMUST00000054780,ENSMUST00000224294,ENSMUST00000224379	47.45	273.50	104.83	102.80	419.61	32.88	8.63	0.00	0.00	85.14	370.27	321.29
ENSMUSG00000003199	ENSMUST00000124302,ENSMUST00000133998,ENSMUST00000140926,ENSMUST00000149441,ENSMUST00000153197,ENSMUST00000159340,ENSMUST00000159420,ENSMUST00000159996,ENSMUST00000162883	3590.00	3031.00	3171.00	2942.00	2251.00	1355.00	2497.00	687.00	3646.00	3061.00	4837.00	4112.00
ENSMUSG00000003200	ENSMUST00000003268,ENSMUST00000233034,ENSMUST00000233803	5474.00	4079.00	4211.00	3958.00	4165.00	4411.00	2698.00	2440.00	4581.00	3008.00	2948.00	4036.00
ENSMUSG00000003206	ENSMUST00000003274	198.99	350.00	291.60	375.00	0.00	1020.78	413.00	287.96	0.00	141.95	42.16	47.00
ENSMUSG00000003208	ENSMUST00000086869,ENSMUST00000233204,ENSMUST00000233226,ENSMUST00000233661	269.00	331.00	482.97	361.00	640.77	600.20	561.00	428.44	563.61	704.38	523.90	610.00
ENSMUSG00000003226	ENSMUST00000003310,ENSMUST00000219332,ENSMUST00000220131	1527.76	2162.69	3068.86	2207.85	1851.00	1166.93	549.93	1486.00	661.00	1960.00	1481.00	1846.96
ENSMUSG00000003227	ENSMUST00000003312	21.00	75.00	49.00	7.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000003228	ENSMUST00000003313,ENSMUST00000235623,ENSMUST00000236876	352.00	314.00	275.00	444.00	269.00	600.00	150.50	93.00	0.00	352.00	17.00	288.00
ENSMUSG00000003233	ENSMUST00000003318,ENSMUST00000169552,ENSMUST00000171572,ENSMUST00000171774	1709.00	1149.00	1549.00	1335.00	1442.00	1739.00	485.00	924.00	1596.00	1260.00	1184.00	1308.00
ENSMUSG00000003234	ENSMUST00000003319,ENSMUST00000135861,ENSMUST00000148679,ENSMUST00000152339,ENSMUST00000154660,ENSMUST00000231258,ENSMUST00000231590,ENSMUST00000232127,ENSMUST00000232490,ENSMUST00000232680	1738.00	1773.00	2468.00	2151.00	1182.00	1671.00	1478.00	1264.00	1125.00	1052.00	1656.00	2548.00
ENSMUSG00000003235	ENSMUST00000003320,ENSMUST00000148714,ENSMUST00000231315	2842.00	2514.00	2547.00	2293.00	504.00	1346.00	631.00	526.00	3260.00	1380.00	2561.00	1573.00
ENSMUSG00000003269	ENSMUST00000107729,ENSMUST00000209245,ENSMUST00000210137,ENSMUST00000210853,ENSMUST00000210898,ENSMUST00000211263,ENSMUST00000211783,ENSMUST00000223361,ENSMUST00000247844	3284.74	3119.82	2861.92	2988.92	1694.37	1904.00	1460.00	1143.00	3782.93	2002.00	3400.68	2998.93
ENSMUSG00000003271	ENSMUST00000075571,ENSMUST00000209435,ENSMUST00000209464,ENSMUST00000209739,ENSMUST00000210021,ENSMUST00000210147,ENSMUST00000210754,ENSMUST00000211779	4.00	0.00	8.00	12.00	23.00	0.00	1.00	83.00	0.00	27.00	0.00	0.00
ENSMUSG00000003273	ENSMUST00000003360,ENSMUST00000209796,ENSMUST00000210027,ENSMUST00000210872,ENSMUST00000211259	109.00	117.00	61.00	93.00	48.00	7.00	58.00	0.00	0.00	167.00	43.00	185.00
ENSMUSG00000003279	ENSMUST00000060072,ENSMUST00000097288,ENSMUST00000125691,ENSMUST00000126801,ENSMUST00000130971,ENSMUST00000133717,ENSMUST00000133983,ENSMUST00000135938,ENSMUST00000140728,ENSMUST00000146730,ENSMUST00000148486,ENSMUST00000150260,ENSMUST00000150798,ENSMUST00000155016,ENSMUST00000155823,ENSMUST00000156946,ENSMUST00000232998,ENSMUST00000233173,ENSMUST00000233283,ENSMUST00000233780	387.17	156.34	205.00	363.00	1350.86	107.00	102.82	198.23	542.00	1127.08	1474.92	420.37
ENSMUSG00000003282	ENSMUST00000003369,ENSMUST00000137439,ENSMUST00000147035,ENSMUST00000151543	0.00	6.00	2.00	0.00	44.00	0.00	0.00	0.00	0.00	0.00	0.00	75.00
ENSMUSG00000003283	ENSMUST00000003370,ENSMUST00000109799,ENSMUST00000189688	913.00	1344.00	2105.78	1213.00	730.00	3345.00	2044.00	415.00	846.00	357.00	439.99	281.00
ENSMUSG00000003299	ENSMUST00000003386,ENSMUST00000213977,ENSMUST00000214124,ENSMUST00000216175,ENSMUST00000216325,ENSMUST00000216466,ENSMUST00000216818,ENSMUST00000216824	2724.00	2729.00	2755.00	2973.00	3550.00	4050.00	2882.00	2182.00	2604.00	2815.00	4197.00	3753.00
ENSMUSG00000003308	ENSMUST00000049567,ENSMUST00000164812,ENSMUST00000193247,ENSMUST00000193982,ENSMUST00000194542,ENSMUST00000216436	3848.07	2632.00	2661.71	2408.32	1425.40	928.30	1728.38	2105.75	1597.00	1919.04	2323.83	3016.56
ENSMUSG00000003309	ENSMUST00000003397,ENSMUST00000115433,ENSMUST00000213250,ENSMUST00000213483,ENSMUST00000213762	79.00	60.00	96.00	114.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	342.00
ENSMUSG00000003316	ENSMUST00000003404,ENSMUST00000164283,ENSMUST00000168741,ENSMUST00000169020	10571.94	6058.00	7244.28	6159.80	3397.00	2356.00	2419.33	3142.00	2377.00	2069.99	4770.97	3095.00
ENSMUSG00000003341	ENSMUST00000020383,ENSMUST00000219648,ENSMUST00000220326	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000003344	ENSMUST00000126980,ENSMUST00000131876,ENSMUST00000147162,ENSMUST00000151794	3673.00	2440.00	2371.00	2208.00	1573.00	2803.00	916.00	844.00	1794.00	554.00	1620.00	2057.00
ENSMUSG00000003345	ENSMUST00000079773,ENSMUST00000085435,ENSMUST00000217902,ENSMUST00000218093,ENSMUST00000219814,ENSMUST00000220025,ENSMUST00000220163,ENSMUST00000220431	8464.00	5357.00	5760.00	5344.00	4910.00	2232.00	4129.00	2233.00	4004.00	3208.00	4577.00	5315.00
ENSMUSG00000003346	ENSMUST00000003436,ENSMUST00000187646,ENSMUST00000189605,ENSMUST00000191440	5693.00	4063.00	4085.00	4344.00	3270.00	3203.00	3772.00	2417.00	4155.00	2300.00	4117.00	4891.00
ENSMUSG00000003348	ENSMUST00000003438,ENSMUST00000218090,ENSMUST00000218439,ENSMUST00000220138	1644.00	1301.00	1703.00	1574.00	615.00	1359.00	2096.00	1647.00	547.00	2.00	319.00	871.00
ENSMUSG00000003352	ENSMUST00000003442,ENSMUST00000109150,ENSMUST00000229223,ENSMUST00000229282,ENSMUST00000230064,ENSMUST00000230490,ENSMUST00000230769	1086.00	1043.00	777.00	938.00	2798.00	825.00	617.00	450.00	818.00	276.00	383.00	825.00
ENSMUSG00000003354	ENSMUST00000003444,ENSMUST00000229471	5.00	40.00	29.00	19.00	0.00	38.00	0.00	0.00	0.00	0.00	0.00	65.00
ENSMUSG00000003355	ENSMUST00000003445,ENSMUST00000229562,ENSMUST00000230743	81.00	247.00	249.00	130.00	432.00	251.00	1010.00	1238.00	128.00	173.00	151.00	335.00
ENSMUSG00000003360	ENSMUST00000003450,ENSMUST00000159170,ENSMUST00000159423,ENSMUST00000160506,ENSMUST00000161030,ENSMUST00000162384,ENSMUST00000228973	115.00	171.00	148.00	118.00	11.00	154.00	77.00	106.00	3.00	193.00	321.00	229.00
ENSMUSG00000003363	ENSMUST00000117095,ENSMUST00000117611,ENSMUST00000127240,ENSMUST00000131106,ENSMUST00000142981,ENSMUST00000143903,ENSMUST00000150964,ENSMUST00000155287	8386.00	8151.00	10795.00	10609.00	21329.00	53260.00	56863.00	15446.00	6332.00	5095.00	6543.00	8963.00
